,Unnamed: 0,index,ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity,Pass
11,11,136,2021-4A37ZV,{ท่อระบายน้ำ},,ฝาท่อระบายน้ำพัง บริเวณหน้าบริษัทท่าอากาศยานไทยครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2021-12/387c9b0a54dc5996f505c408032be4574a13bdeb.jpg,,"100.60439,13.92667",159 ถนน วิภาวดีรังสิต แขวง สนามบิน เขตดอนเมือง กรุงเทพมหานคร 10210 ประเทศไทย,สีกัน,ดอนเมือง,กรุงเทพมหานคร,2021-12-20 23:55:08.524713+00,กำลังดำเนินการ,,0,2022-02-22 04:23:27.295718+00,1.0
19,19,217,2022-F9N2ZF,{ท่อระบายน้ำ},,ฝาท่อผุ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-01/86917b091871f6b3b71ffaa815d02c414b7b5e0a.jpg,,"100.53200,13.75288",89/79 ถนน เพชรบุรี แขวง ถนนเพชรบุรี เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย,ถนนเพชรบุรี,ราชเทวี,กรุงเทพมหานคร,2022-01-15 07:01:38.381041+00,กำลังดำเนินการ,,0,2022-02-22 04:19:22.234507+00,1.0
26,26,485,2022-FWRZ7B,"{ท่อระบายน้ำ,ถนน}",,เหตุเกิดในซอยพหลโยธิน 24 พบฝาท่อบนถนนชำรุดเป็นรูใหญ่ ลักษณะขาดการบำรุงรักษามานาน อาจเป็นอันตรายกับคนเดินเท้า หรือคนที่ปั่นจักรยานได้ โดยเฉพาะเวลากลางคืน,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-02/c333c276657fbeb86627e0be7792c4fe1d86e4dc.jpg,,"100.56970,13.82212",316 ซอย พหลโยธิน 24 แยก 6-1 แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,จอมพล,จตุจักร,กรุงเทพมหานคร,2022-02-26 05:11:46.61888+00,กำลังดำเนินการ,,0,2022-03-15 17:09:43.169668+00,1.0
35,35,1002,2022-7PGZH8,{ท่อระบายน้ำ},"เขตราษฎร์บูรณะ,สำนักการโยธา กทม.,ผอ.เขตราษฎร์บูรณะ (นายดลจิตร์),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",ทำฟุทบาทไหม่แต่ไม่ทำฝาท่อ เดินสดุดล้มกันทุกวันครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/5d1888f0b6665c4047f776f1f2ae8568bd751989.jpg,,"100.50413,13.66566",440/23 ถ. ประชาอุทิศ แขวง ราษฎร์บูรณะ เขตราษฎร์บูรณะ กรุงเทพมหานคร 10140 ประเทศไทย,บางปะกอก,ราษฎร์บูรณะ,กรุงเทพมหานคร,2022-05-29 10:35:27.878169+00,เสร็จสิ้น,,0,2022-07-06 06:55:59.277771+00,1.0
37,37,1048,2022-K6D7AF,{ท่อระบายน้ำ},"เขตลาดกระบัง,ผอ.เขตลาดกระบัง (นายธนะสิทธิ์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",ปัญหามีหลุมที่เสี่ยงต่อคนเดินตกท่อไม่มีฝาปิดที่มิดชิด,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/2b376d728d1d61f6c87ac2b619c2ccafccc0629c.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/b7cbd24ddc67dec133df9155687411d0a7adc5ab.jpg,"100.71907,13.76791",6/2 ถนน เคหะร่มเกล้า แขวง คลองสองต้นนุ่น เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,คลองสองต้นนุ่น,ลาดกระบัง,กรุงเทพมหานคร,2022-05-29 11:07:34.615412+00,เสร็จสิ้น,,0,2022-10-25 07:56:59.939522+00,1.0
44,44,1170,2022-C2CQQN,"{ท่อระบายน้ำ,ถนน}","เขตวังทองหลาง,ฝ่ายโยธา เขตวังทองหลาง,ผอ.เขตวังทองหลาง (นายโครงการ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",ถนนอินทราภรณ์ มุ่งหน้า รร บดินทรเดชา ผิวถนนไม่เรียบ มีการเทยางมะตอยไว้แค่เลนเดียว และไม่ปรับผิวตรงบริเวณรอบฝาบ่อท่อระบายน้ำที่อยู่กลางถนน อยากให้ทางเขตเข้ามาแก้ไขครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/41b7038f1503ded050f769af4d313157876206f9.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-07/1688457182011.jpeg,"100.61334,13.77221",337 ถ. อินทราภรณ์ แขวง พลับพลา เขตวังทองหลาง กรุงเทพมหานคร 10312 ประเทศไทย,พลับพลา,วังทองหลาง,กรุงเทพมหานคร,2022-05-29 12:12:02.017004+00,เสร็จสิ้น,2.0,0,2023-07-04 07:53:04.094083+00,1.0
59,59,2262,2022-3YWMH6,{ท่อระบายน้ำ},"เขตวังทองหลาง,ฝ่ายโยธา เขตวังทองหลาง,ผอ.เขตวังทองหลาง (นายโครงการ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",แจ้งเรื่องปัญหาฝาท่อระบายน้ำชำรุด เกิดเป็นหลุม มีทั้งหมด 2 จุดในพื้นที่ซอยลาดพร้าว 80 แยก 16 เขตวังทองหลาง แขวงวังทองหลางค่ะ รถที่สัญจรผ่านไปมาต้องคอยระวัง เพราะมีจุดนึงฝาท่อหลุดออกเป็นหลุมใหญ่ อยากให้ทางเขตเข้ามาแก้ไขค่ะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/b6e285e46f4ba0596662feb8958a4f831f2b68c1.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/4dabb0d1875619d1b328715b1f949e716e88b860.jpg,"100.60386,13.78431",10 ซอย ลาดพร้าว 80 แยก 16 แขวง วังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310 ประเทศไทย,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,2022-05-31 05:43:48.781285+00,เสร็จสิ้น,5.0,0,2023-06-26 11:12:24.788598+00,1.0
70,70,3173,2022-KR6VVH,"{ท่อระบายน้ำ,ถนน}","เขตหนองแขม,ผอ.เขตหนองแขม (นางมณีวรรณ),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",ถนนทางเข้าหมู่บ้านเอื้ออาทรเพชรเกษม 81 ซ.ไชยสิทธิ์ 2 ถนนตรงท่อระบายน้ำทรุดเป็นหลุม เคยมีรถตกหลุม ชาวบ้านเลยเอาหินมาทับและเอาไม้มาปักไว้เพื่อเตือนให้คนหลบ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/c01cf2ea30f99d2cac33121eeca83245ac298dc4.jpg,,"100.33623,13.68021",15 ถนน เลียบคลองภาษีเจริญฝั่งเหนือ 34 แขวง หนองแขม เขตหนองแขม กรุงเทพมหานคร 10160 ประเทศไทย,หนองแขม,หนองแขม,กรุงเทพมหานคร,2022-06-01 07:03:06.414671+00,เสร็จสิ้น,3.0,0,2022-06-13 10:41:05.629642+00,1.0
132,132,5851,2022-97KYT3,"{ถนน,ท่อระบายน้ำ}","เขตจอมทอง,ฝ่ายโยธา เขตจอมทอง,กรมทางหลวง,ผอ.เขตจอมทอง (นายณัฐพงษ์),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต)",ท่อระบายน้ำ บนถนนพระราม 2 ช่วง กทม. มีการถมหน้าตะแกรงระบายน้ำด้วยยางมะตอย ในหลายนำแหน่งมีการถมปิด 100% และส่วนมากถมปิดที่ 90% เมื่อรถยนต์บดทับ จะทำให้ยางมะตอยหลุดลงไปอุดตันทางระบายน้ำ และการราดยางมะตอยในระหว่างการก่อสร้างทางยกระดับ และยังไม่ได้ทำการปรับปรุงทางเดิน ทั้ง ๆ ที่มีการกำหนดระยะขอบถนนใหม่ ดูเป็นส่อทุจริตหรือเปล่า ? จะทำกันกี่รอบ ต้องใช้งบประมาณกี่มากน้อย ?,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/31a69b1103c93969eb00a2f554c019b854924e39.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/6030d63ec646528102ae41452fef04bda95678c3.jpg,"100.45980,13.67519",สมาคมฮินแหน่นแห่งประเทศไทย แขวง บางมด เขตจอมทอง กรุงเทพมหานคร 10150 ประเทศไทย,บางมด,จอมทอง,กรุงเทพมหานคร,2022-06-03 14:22:15.94835+00,เสร็จสิ้น,5.0,0,2022-06-29 08:41:56.767052+00,1.0
135,135,6072,2022-9L8EA7,{ท่อระบายน้ำ},"เขตวังทองหลาง,สำนักการโยธา กทม.,กองแผนงานและประสานสาธารณูปโภค สำนักการโยธา (กผภ.สนย.) กทม.,การไฟฟ้านครหลวง MEA,การไฟฟ้านครหลวง เขตนวลจันทร์",ฝาท่อไม่เสมอผิวถนน,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/cac1d2c2c68bfa33366b1beb0b248556cfa0e3a0.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-03/1678795927795.jpeg,"100.59983,13.79137",118/6 ถ. ลาดพร้าว แขวง วังทองหลาง เขตวังทองหลาง กรุงเทพมหานคร 10310 ประเทศไทย,วังทองหลาง,วังทองหลาง,กรุงเทพมหานคร,2022-06-04 00:48:11.301409+00,เสร็จสิ้น,,0,2023-03-14 12:12:10.466602+00,1.0
