,Unnamed: 0,index,ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity,level
6,6,59,2021-4HX64Z,{น้ำท่วม},,น้ำท่วมซอยเทียนทะเล19แยก2 ครับ ผมเข้าไปตอน20:30ท่วมประมาณข้อเท้าครับ ท่วมมาเเป็นเดือนแล้วครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2021-12/ecbbe283b25a4bbb5697625a0711050ee581d951.jpg,,"100.44991,13.61629",15/3 เทียนทะเล แขวง ท่าข้าม เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,2021-12-12 11:19:22.825762+00,กำลังดำเนินการ,,0,2022-02-22 04:27:19.492186+00,2.0
9,9,523,2022-3DGMEG,{น้ำท่วม},,การแก้ปัญหาเรื่องน้ำท่วมในหมู่บ้านเวลาฝนตกหนัก น้ำระบายไม่ทัน,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-03/f5622f4d0a44730f09f58abdb987bdfb646ba618.jpg,,"100.42054,13.76444",39/15 ซอย 11/2 แขวง บางระมาด เขตตลิ่งชัน กรุงเทพมหานคร 10170 ประเทศไทย,บางระมาด,ตลิ่งชัน,กรุงเทพมหานคร,2022-03-03 09:05:34.238272+00,รอรับเรื่อง,,0,2022-03-03 09:05:35.076412+00,2.0
23,23,1149,2022-AN82TZ,{น้ำท่วม},"เขตสายไหม,ฝ่ายโยธา เขตสายไหม,ผอ.เขตสายไหม (นายสมบัติ),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",เมื่อฝนตกจะน้ำท่วมในซอย พหลโยธิน 54/1 แยก 4 วัดเกาะ แต่ประเด็นคือ เมื่อฝนหยุดตกแล้ว น้ำจะมีการทะลักออกมาจากท่อระบายนผ้าอยู่เรื่อยๆ เลยครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/25d0eb8fac01bd911e88d192d1e3e3d51e056a57.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/4c4a583cb2d48be0480f0377ef5b099ae488df53.jpg,"100.63242,13.90728",458 ซอย พหลโยธิน 54/1 แยก 4 แขวง คลองถนน เขตสายไหม กรุงเทพมหานคร 10220 ประเทศไทย,คลองถนน,สายไหม,กรุงเทพมหานคร,2022-05-29 12:02:36.39024+00,เสร็จสิ้น,5.0,0,2023-12-07 02:20:11.857187+00,1.0
24,24,1153,2022-QV4PFD,"{น้ำท่วม,ถนน}","เขตลาดพร้าว,ผอ.เขตลาดพร้าว (นางสุภาพร),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)","น้ำท่วมในซอยเสนานิคม 1 ตั้งแต่เลี้ยวเข้ามาทางถนนเกษตรนวมินทร์ และเลี้ยวซ้ายเข้าซอยจนสุดซอยบริเวณวงเวียนแท็งค์น้ำเขียว ค่ะ หรืออย่างน้อยปรับพื้นผิวถนนบริเวณโค้งรถทัวร์สุดซอยให้สูงขึ้น

ขอบคุณค่ะ",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/cef48afb2af85a419a069d02657b0f1dfa7d0053.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/97b2f3b2a7c33289e1cfe6ceba3a433c03a6832c.jpg,"100.60678,13.82419",64/1 เสนานิคม แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230 ประเทศไทย,ลาดพร้าว,ลาดพร้าว,กรุงเทพมหานคร,2022-05-29 12:04:06.983234+00,เสร็จสิ้น,5.0,0,2022-05-31 06:36:54.388644+00,2.0
29,29,1468,2022-AV6TV6,"{น้ำท่วม,ถนน,ทางเท้า}","เขตบางขุนเทียน,ผอ.เขตบางขุนเทียน (นางภัสรา),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",แถวบ้านผมมีปัญหาน้ำท่วมถนนมาตั้งแต่ผมยังเด็กครับ ท่วมแบบมอเตอร์ไซค์ดับกลางทางถ้าฝนตกหนักแถมยังท่วมจนไม่มีฟุตบาทข้างทาง จนเมื่อประมาณ 10 กว่าปีที่แล้ว ได้มีการเสริมพื้นถนนจากปากซอยเอกชัย 69 มาจนถึงหน้าวิชัยแมนชั่น(ซึ่งผมก็ไม่ทราว่า ทางผู้รับผิดชอบในโครงการนี้ ทำไมเขาถึงได้ไม่ทำจนสุดแยก) และไม่กี่ปีต่อมาก็ได้มีการเสริมพื้นถนนเส้น ซอยพระราม2 ซอย 50 ถึง ปากซอย 54(ที่คนแถวนั้นเรียกซอยข้างเขตบางขุนเทียน) แต่ก็ไม่ทำส่วนที่คงเหลือไว้จากเดิม ทำให้ตรงบริเวณนี้กลายเป็นแอ่งเก็บน้ำรอแห้ง(มันระบายช้าจนเกินคำว่ารอระบายไปแล้วครับ ถึงจะมีการลอกท่อแต่ไม่กี่วันมันก็ตันเหมือนเดิม) ซึ่งปัจจุบันทางด้านข้างบ้านผมก็ทำการยกพื้นให้สูงขึ้น เมื่อน้ำท่วมก็ทำให้ยังมีทางเดินให้อยู่ รบกวนช่วยมาตรวจสอบด้วยครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/fc22bf110d29679fa3b76d9b03139c133faae1f7.jpg,,"100.43866,13.67215",43/340 ซอย เทียนทอง 7 แขวง แสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,แสมดำ,บางขุนเทียน,กรุงเทพมหานคร,2022-05-29 17:23:46.218348+00,เสร็จสิ้น,1.0,0,2022-07-18 11:30:14.559267+00,2.0
32,32,1694,2022-4BTRM4,{น้ำท่วม},เขตบางนา,1) น้ำท่วมหลายวัน ลาซาล แบริ่ง ศรีนครินทร์,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/fead0f90a71cd236294f5a44bf6c3c46b4bf3fc1.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-03/1679716517756.jpeg,"100.62159,13.65516",591 ถนน แบริ่ง - ลาซาล แขวง บางนา เขตบางนา กรุงเทพมหานคร 10260 ประเทศไทย,บางนาเหนือ,บางนา,กรุงเทพมหานคร,2022-05-30 03:54:41.910213+00,เสร็จสิ้น,,0,2023-03-25 03:55:19.953565+00,2.0
35,35,1942,2022-3PTG49,{น้ำท่วม},"เขตดินแดง,ฝ่ายโยธา เขตดินแดง,ผอ.เขตดินแดง (นายชูชาติ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",อยู่หลังมหาวิทยาลัยหอการค้าคะ ฝนตกครั้งไหนน้ำท่วมครั้งนั้นเลยคะ อยากให้ช่วยดูแลให้ด้วยนะคะ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/e59e014aa86970b1a9ab11b990823cb1b59aa5ea.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/418c33442c0655f95c9f8c4b891e72657bf824ed.jpg,"100.56309,13.77903",9 175 ถนน ประชาสงเคราะห์ แขวง ดินแดง เขตดินแดง กรุงเทพมหานคร 10400 ประเทศไทย,ดินแดง,ดินแดง,กรุงเทพมหานคร,2022-05-30 10:28:49.400032+00,เสร็จสิ้น,,0,2022-06-27 06:50:18.169208+00,2.0
37,37,2005,2022-G3T8BX,"{ถนน,น้ำท่วม}","กลุ่มงานระบายน้ำ ฝ่ายโยธา@ห้วยขวาง,เขตห้วยขวาง,ฝ่ายโยธา เขตห้วยขวาง","ปัญหาน้ำท่วมขัง ใช้เวลาข้ามคืนกว่าน้ำจะลด เวลาฝนตก บริเวณแยกห้วยขวาง , ถนนประชาราษฎร์บำเพ็ญ ตลอดทั้งถนน , โดยเฉพาะ ซอยประชาราษฎร์บำเพ็ญ7 แยก8 น้ำจะท่วมสูงกว่าถนนด้านนอก",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/0f3eb280a88d1c17ceca34fbed2b3755652c0056.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2023-08/1693469553049.jpeg,"100.57657,13.77862",6 ถ. ประชาราษฎร์บำเพ็ญ แขวง ห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร 10310 ประเทศไทย,ห้วยขวาง,ห้วยขวาง,กรุงเทพมหานคร,2022-05-30 12:01:17.80553+00,เสร็จสิ้น,5.0,0,2023-08-31 08:12:35.324397+00,2.0
38,38,2012,2022-NUCCQN,{น้ำท่วม},"เขตบางเขน,ผอ.เขตบางเขน (น.ส.อัญชนา),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",ฝนตกน้ำท่วม ทำให้โรงเรียนอมาตยกุล ต้องปิดเรียนเป็นประจำครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/85c07ea4d111660045d4cbca7ab59ab83d08b82f.jpg,,"100.58956,13.86879",100/20 ซอย พหลโยธิน 51 แขวง อนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,2022-05-30 12:06:57.494867+00,เสร็จสิ้น,,0,2022-06-14 12:43:16.038099+00,2.0
39,39,2046,2022-7Z24VD,{น้ำท่วม},"เขตลาดพร้าว,ผอ.เขตลาดพร้าว (นางสุภาพร),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",ในซอย สุคนธสวัสดิ์น้ำท่วม ฝนตกแป๊บเดียวท่วม 1 เมตรทันทีช่วงกลางซอยโรงเรียนครูเกียวกับโชคชัยครับ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/8b958733b784b866dad573ad16710e4dbb60e6c6.jpg,,"100.62761,13.83451",Sukhonthasawat Road  Lat Phrao  10230 Lat Phrao  Bangkok แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230 ประเทศไทย,ลาดพร้าว,ลาดพร้าว,กรุงเทพมหานคร,2022-05-30 13:10:48.090266+00,เสร็จสิ้น,5.0,0,2022-05-31 16:06:23.475769+00,1.0
50,50,2439,2022-PDM6RX,"{น้ำท่วม,ถนน}","เขตหลักสี่,สำนักการระบายน้ำ กทม.,ผอ.เขตหลักสี่ (นางสมฤดี),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",น้ำท่วมขังถนนแจ้งวัฒนะ ช่วงถนนหน้ากระทรวงยุติธรรมไปถึงไอทีสแควร์,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/7ac1aeb83eb651eee4ebe6f9e1f2e59f671d5319.jpg,,"100.57039,13.88981",6/101-416 ถ. แจ้งวัฒนะ แขวง ทุ่งสองห้อง เขต หลักสี่ กรุงเทพมหานคร 10210 ประเทศไทย,ทุ่งสองห้อง,หลักสี่,กรุงเทพมหานคร,2022-05-31 10:22:06.12626+00,เสร็จสิ้น,,0,2022-07-06 02:01:48.590345+00,1.0
52,52,2463,2022-GXXU8W,{น้ำท่วม},"เขตบางเขน,ผอ.เขตบางเขน (น.ส.อัญชนา),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",ตลาดลาดปลาเค้าน้ำท่วมมทั้งซอย เป็นเขตชุมชน คนต้องไปตลาดซื้อของกิน,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/64b2c4f339fa5ff3b4fb8a5daae0a57172168f1a.jpg,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-06/51eb0ea4bef7bcadb21f9e8c4d3a0773cae068a3.jpg,"100.61444,13.86388",189 ซอย ลาดปลาเค้า 80 แขวง อนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,2022-05-31 10:42:16.463911+00,เสร็จสิ้น,,0,2022-06-04 02:33:51.2874+00,2.0
60,60,2553,2022-MY4Y2F,"{น้ำท่วม,ท่อระบายน้ำ}","เขตบางเขน,ผอ.เขตบางเขน (น.ส.อัญชนา),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",น้ำท่วม ไม่มีท่อระบายน้ำ,https://storage.googleapis.com/traffy_public_bucket/attachment/2022-05/b98f667ae98dac6cb1fe11b78828451bf90f8b58.jpg,,"100.59454,13.87709",79/103 ถ. แจ้งวัฒนะ แขวง อนุสาวรีย์ เขตบางเขน กรุงเทพมหานคร 10220 ประเทศไทย,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,2022-05-31 12:10:50.796497+00,เสร็จสิ้น,,0,2022-06-12 08:38:54.813692+00,2.0
